"Row.names","Date","EP.experimentator...Imaging.acquisition","Condition","ID.embryo","Cell.Segmentation","Threshold.nuclei","Threshold.membrane","Surface.Segmentation","Threshold.surface","Merged.cells.to.get.new.surface.information.from.cell.segmentation","Shortest.distance.between.ATM.group.to.TVC.group..from.edge.to.edge..µm","Comment.on.the.distance","Comment.on.the.embryo","Comment.detailed","Details.phenotype","Quality.of.segmentation.based.on.labelling..good..correct..not.good.","Comments","Name","Phenotype","migration.perturbed","division.perturbed","orientation.perturbed"
"ADF.Cofilin.slide1_image1_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_left","yes",83.5,23.8,"-","-","yes","21.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image1_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image1_right","yes",83.5,23.8,"-","-","yes","27.1","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image1_right.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image10.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image10","yes",104,25,"-","-","yes","13.2","-","problem disposition TVC","problem disposition TVC","the TVC-FHP pairs are separated in the trunk","good","","ADF.Cofilin.slide1_image10.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image11.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image11","yes",103,25.5,"-","-","yes","29.7","-","problem division","inhibited TVC division","the 2 TVCs didn't divide in the trunk","not good","","ADF.Cofilin.slide1_image11.2019_08_29","division perturbed",FALSE,TRUE,FALSE
"ADF.Cofilin.slide1_image12_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image12_left","yes",95.8,16.7,"-","-","yes","0","groups connected","problem migration and division","enhanced ATM migration / enhanced ATM division","one of the ATM migrated in the trunk but not completely because still attached to the other ATM; the ATM that migrated also divided","good","","ADF.Cofilin.slide1_image12_left.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image13.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image13","yes",114,26.6,"-","-","yes","0","groups connected","problem migration and division","inhibited TVC migration / inhibited TVC division","the migration was not done completely because the TVCs are still attached to the ATM, and the 2 TVCs didn't divide in the trunk","good","","ADF.Cofilin.slide1_image13.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image14_left.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_left","yes",82.1,13.5,"-","-","yes","26.6","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image14_left.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image14_right.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image14_right","yes",91.3,29,"-","-","yes","22.8","-","problem migration and division","inhibited TVC migration / inhibited TVC division","one of the TVC didn't migrate and didn't divide in the tail","good","ambiguous phenotype","ADF.Cofilin.slide1_image14_right.2019_08_29","migration/division perturbed",TRUE,TRUE,FALSE
"ADF.Cofilin.slide1_image15.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image15","yes",104,19.2,"-","-","yes","21.2","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image15.2019_08_29","WT",FALSE,FALSE,FALSE
"ADF.Cofilin.slide1_image16.2019_08_29","2019_08_29","Margaux Failla","ADF/Cofilin","slide1_image16","yes",100,30.5,"-","-","yes","37.9","-","look like WT","look like WT","all look like WT","correct","","ADF.Cofilin.slide1_image16.2019_08_29","WT",FALSE,FALSE,FALSE
