"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"ADF.Cofilin.slide1_image1_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image1_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image10.2019_08_29","WT","WT","WT","WT","TVC disposition"
"ADF.Cofilin.slide1_image11.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image12_left.2019_08_29","WT","WT","enhanced","enhanced","WT"
"ADF.Cofilin.slide1_image13.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide1_image14_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image14_right.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide1_image15.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image16.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image17_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image17_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image18_left.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide1_image18_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image19_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image19_right.2019_08_29","WT","WT","WT","WT","TVC disposition"
"ADF.Cofilin.slide1_image2_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"ADF.Cofilin.slide1_image2_right.2019_08_29","WT","WT","enhanced","enhanced","WT"
"ADF.Cofilin.slide1_image20_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image20_right.2019_08_29","WT","inhibited","enhanced","WT","WT"
"ADF.Cofilin.slide1_image21.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide1_image23_left.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image24.2019_08_29","WT","WT","WT","enhanced","WT"
"ADF.Cofilin.slide1_image25_left.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image25_right.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image26_left.2019_08_29","WT","WT","enhanced","enhanced","WT"
"ADF.Cofilin.slide1_image27.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image28_left.2019_08_29","inhibited","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image28_right.2019_08_29","WT","WT","WT","WT","WT"
"ADF.Cofilin.slide1_image29.2019_08_29","inhibited","inhibited","WT","WT","WT"
"ADF.Cofilin.slide1_image3.2019_08_29","inhibited","WT","WT","enhanced","WT"
